ayant	VER:ppre	avoir
accédé	VER:pper	accéder
au	PRP:det	au
championnat	NOM	championnat
d'	PRP	de
excellence	NOM	excellence
,	PUN	,
après	PRP	après
une	DET:ART	un
première	NUM	premier
phase	NOM	phase
positive	ADJ	positif
au	PRP:det	au
niveau	NOM	niveau
honneur	NOM	honneur
,	PUN	,
les	DET:ART	le
18	NUM	@card@
ans	NOM	an
filles	NOM	fille
du	PRP:det	du
pays	NOM	pays
riolais	VER:impf	riolais
,	PUN	,
qui	PRO:REL	qui
viennent	VER:pres	venir
de	PRP	de
signer	VER:infi	signer
,	PUN	,
dimanche	NOM	dimanche
,	PUN	,
une	DET:ART	un
nette	ADJ	net
victoire	NOM	victoire
face	NOM	face
à	PRP	à
l'	DET:ART	le
es	VER:pres	être
besançon	NOM	besançon
(	PUN	(
32	NUM	@card@
-	PUN	-
13	NUM	@card@
),	NOM	),
sont	VER:pres	être
en	PRP	en
passe	NOM	passe
de	PRP	de
terminer	VER:infi	terminer
premières	NUM	premier
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
de	PRP	de
la	DET:ART	le
saison	NOM	saison
.	SENT	.
encadré	VER:pper	encadrer
par	PRP	par
chantal	ADJ	chantal
tribillon	NOM	tribillon
,	PUN	,
christelle	ADJ	christelle
boetsch	NOM	boetsch
et	KON	et
alexandra	NOM	alexandra
demange	NOM	demange
,	PUN	,
le	DET:ART	le
collectif	ADJ	collectif
est	VER:pres	être
relativement	ADV	relativement
homogène	ADJ	homogène
,	PUN	,
avec	PRP	avec
dans	PRP	dans
les	DET:ART	le
buts	NOM	but
fanny	NOM	fanny
dangel	ADJ	dangel
sélectionnée	VER:pper	sélectionner
en	PRP	en
équipe	NOM	équipe
de	PRP	de
ligue	NOM	ligue
de	PRP	de
franche-comté	NOM	franche-comté
,	PUN	,
et	KON	et
des	PRP:det	du
éléments	NOM	élément
qui	PRO:REL	qui
évoluent	VER:pres	évoluer
déjà	ADV	déjà
occasionnellement	ADV	occasionnellement
en	PRP	en
équipe	NOM	équipe
de	PRP	de
prénational	NOM	prénational
,	PUN	,
telles	PRO:DEM	tel
aline	NOM	aline
boîteux	NOM	boîteux
et	KON	et
emilie	VER:pres	emilie
schuster	NOM	schuster
.	SENT	.
