vacations	NOM	vacation|vacations
de	PRP	de
police	NOM	police
cimetière	NOM	cimetière
communal	ADJ	communal
:	PUN	:
le	DET:ART	le
maire	NOM	maire
propose	VER:pres	proposer
de	PRP	de
retenir	VER:infi	retenir
le	DET:ART	le
principe	NOM	principe
d'	PRP	de
une	DET:ART	un
vacation	NOM	vacation
forfaitaire	ADJ	forfaitaire
de	PRP	de
15	NUM	@card@
,	NOM	,
quelque	PRO:IND	quelque
soit	KON	soit
le	DET:ART	le
nombre	NOM	nombre
d'	PRP	de
opérations	NOM	opération
réalisées	VER:pper	réaliser
.	SENT	.
cette	PRO:DEM	ce
vacation	NOM	vacation
sera	VER:futu	être
encaissée	VER:pper	encaisser
par	PRP	par
l'	DET:ART	le
entreprise	NOM	entreprise
de	PRP	de
pompes	NOM	pompe
funèbres	ADJ	funèbre
,	PUN	,
puis	ADV	puis
reversée	VER:pper	reverser
à	PRP	à
la	DET:ART	le
commune	NOM	commune
.	SENT	.
procédure	NOM	procédure
à	PRP	à
engager	VER:infi	engager
pour	PRP	pour
acquisition	NOM	acquisition
de	PRP	de
terrain	NOM	terrain
dans	PRP	dans
le	DET:ART	le
rue	NOM	rue
des	PRP:det	du
gouttottes	NOM	gouttottes
:	PUN	:
afin	KON	afin
de	PRP	de
réaliser	VER:infi	réaliser
les	DET:ART	le
travaux	NOM	travail
de	PRP	de
sécurité	NOM	sécurité
,	PUN	,
d'	PRP	de
aménagement	NOM	aménagement
et	KON	et
de	PRP	de
création	NOM	création
de	PRP	de
trottoirs	NOM	trottoir
dans	PRP	dans
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
gouttottes	NOM	gouttottes
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
a	VER:pres	avoir
confirmé	VER:pper	confirmer
sa	DET:POS	son
décision	NOM	décision
de	PRP	de
voir	VER:infi	voir
réaliser	VER:infi	réaliser
le	DET:ART	le
projet	NOM	projet
,	PUN	,
a	VER:pres	avoir
exprimé	VER:pper	exprimer
sa	DET:POS	son
volonté	NOM	volonté
de	PRP	de
lancer	VER:infi	lancer
la	DET:ART	le
procédure	NOM	procédure
d'	PRP	de
expropriation	NOM	expropriation
nécessaire	ADJ	nécessaire
à	PRP	à
l'	DET:ART	le
acquisition	NOM	acquisition
des	PRP:det	du
terrains	NOM	terrain
utiles	ADJ	utile
à	PRP	à
sa	DET:POS	son
réalisation	NOM	réalisation
.	SENT	.
création	NOM	création
d'	PRP	de
un	DET:ART	un
lotissement	NOM	lotissement
«	PUN:cit	«
rené	VER:pper	renaître
cassin	NOM	cassin
»	PUN:cit	»
:	PUN	:
le	DET:ART	le
projet	NOM	projet
de	PRP	de
lotissement	NOM	lotissement
communal	ADJ	communal
à	PRP	à
usage	NOM	usage
d'	PRP	de
habitat	NOM	habitat
au	PRP:det	au
lieu-dit	NOM	lieu-dit
«	PUN:cit	«
tronchots-dessus	NOM	tronchots-dessus
»	PUN:cit	»
et	KON	et
dénommé	VER:pper	dénommer
«	PUN:cit	«
rené	VER:pper	renaître
cassin	NOM	cassin
»	PUN:cit	»
2	NUM	@card@
e	ADJ	e
tranche	NOM	tranche
a	VER:pres	avoir
été	VER:pper	être
présenté	VER:pper	présenter
en	PRP	en
séance	NOM	séance
.	SENT	.
des	PRP:det	du
études	NOM	étude
sont	VER:pres	être
terminées	VER:pper	terminer
et	KON	et
la	DET:ART	le
consultation	NOM	consultation
des	PRP:det	du
entreprises	NOM	entreprise
peut-être	ADV	peut-être
lancée	VER:pper	lancer
.	SENT	.
sur	PRP	sur
proposition	NOM	proposition
du	PRP:det	du
maire	NOM	maire
et	KON	et
compte	VER:pres	compter
tenu	VER:pper	tenir
de	PRP	de
l'	DET:ART	le
estimation	NOM	estimation
des	PRP:det	du
services	NOM	service
des	PRP:det	du
domaines	NOM	domaine
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
de	PRP	de
fixer	VER:infi	fixer
le	DET:ART	le
prix	NOM	prix
du	PRP:det	du
terrain	NOM	terrain
à	PRP	à
24,25	NUM	@card@
	NOM	
ht	ADJ	ht
,	PUN	,
soit	KON	soit
29	NUM	@card@
	ADJ	
ttc	NOM	ttc
et	KON	et
d'	PRP	de
assujettir	VER:infi	assujettir
ce	PRO:DEM	ce
lotissement	NOM	lotissement
à	PRP	à
la	DET:ART	le
tva	NOM	tva
.	SENT	.
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
place	NOM	place
de-gaulle	NOM	de-gaulle
:	PUN	:
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
l'	DET:ART	le
avenant	NOM	avenant
de	PRP	de
l'	DET:ART	le
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
place	NOM	place
de-gaulle	NOM	de-gaulle
,	PUN	,
le	DET:ART	le
rabais	NOM	rabais
de	PRP	de
2	NUM	@card@
%	SYM	%
sur	PRP	sur
le	DET:ART	le
montant	NOM	montant
initial	ADJ	initial
du	PRP:det	du
marché	NOM	marché
,	PUN	,
n'	ADV	ne
as	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
pris	VER:pper	prendre
en	PRP	en
compte	NOM	compte
dans	PRP	dans
les	DET:ART	le
pièces	NOM	pièce
administratives	ADJ	administratif
de	PRP	de
cet	PRO:DEM	ce
avenant	NOM	avenant
qui	PRO:REL	qui
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
63.379	NUM	@card@
,	PUN	,
21	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
accepte	VER:pres	accepter
cet	PRO:DEM	ce
avenant	NOM	avenant
et	KON	et
autorise	VER:pres	autoriser
le	DET:ART	le
maire	NOM	maire
à	PRP	à
le	PRO:PER	le
signer	VER:infi	signer
.	SENT	.
approbation	NOM	approbation
du	PRP:det	du
lotissement	NOM	lotissement
«	PUN:cit	«
les	DET:ART	le
combaulles	NOM	combaulles
»	PUN:cit	»
:	PUN	:
le	DET:ART	le
maire	NOM	maire
présente	ADJ	présent
à	PRP	à
l'	DET:ART	le
assemblée	NOM	assemblée
le	DET:ART	le
projet	NOM	projet
de	PRP	de
lotissement	NOM	lotissement
communal	ADJ	communal
sans	PRP	sans
travaux	NOM	travail
et	KON	et
découpage	NOM	découpage
à	PRP	à
la	DET:ART	le
carte	NOM	carte
«	PUN:cit	«
les	DET:ART	le
combaulles	NOM	combaulles
»	PUN:cit	»
ce	PRO:DEM	ce
lotissement	NOM	lotissement
desservi	VER:pper	desservir
par	PRP	par
les	DET:ART	le
réseaux	NOM	réseau
publics	ADJ	public
et	KON	et
par	PRP	par
la	DET:ART	le
voirie	NOM	voirie
pourra	VER:futu	pouvoir
être	VER:infi	être
proposé	VER:pper	proposer
dès	PRP	dès
l'	DET:ART	le
obtention	NOM	obtention
de	PRP	de
l'	DET:ART	le
autorisation	NOM	autorisation
de	PRP	de
lotir	VER:infi	lotir
à	PRP	à
d'	PRP	de
éventuels	ADJ	éventuel
acquéreurs	NOM	acquéreur
.	SENT	.
ventes	NOM	vente
et	KON	et
achats	NOM	achat
de	PRP	de
terrains	NOM	terrain
:	PUN	:
lotissement	NOM	lotissement
«	PUN:cit	«
notre-dame	NOM	notre-dame
»	PUN:cit	»
:	PUN	:
lot	NOM	lot
n	VER:futu	n
°	NOM	°
8	NUM	@card@
à	PRP	à
jean-paul	NOM	jean-paul
vuillemin	ADJ	vuillemin
et	KON	et
aline	NOM	aline
quintana	VER:simp	quintana
;	PUN	;
lotissement	NOM	lotissement
«	PUN:cit	«
notre-dame	NOM	notre-dame
»	PUN:cit	»
:	PUN	:
lot	NOM	lot
n	VER:futu	n
°	NOM	°
7	NUM	@card@
à	PRP	à
thierry	NOM	thierry
froidevaux	ADJ	froidevaux
et	KON	et
céline	ADJ	céline
maisier	NOM	maisier
;	PUN	;
lotissement	NOM	lotissement
«	PUN:cit	«
rené	VER:pper	renaître
cassin	NOM	cassin
»	PUN:cit	»
:	PUN	:
lot	NOM	lot
n	VER:futu	n
°	NOM	°
3	NUM	@card@
à	PRP	à
hervé	ADJ	hervé
driot	NOM	driot
et	KON	et
isabelle	ADJ	isabelle
bourgon	NOM	bourgon
;	PUN	;
lotissement	NOM	lotissement
«	PUN:cit	«
rené	VER:pper	renaître
cassin	NOM	cassin
»	PUN:cit	»
lot	NOM	lot
n	VER:impf	n
°	NOM	°
6	NUM	@card@
à	PRP	à
m.	VER:infi	m.
et	KON	et
mme	VER:subi	mme
didier	ADJ	didier
barret	NOM	barret
;	PUN	;
lotissement	NOM	lotissement
«	PUN:cit	«
rené	VER:pper	renaître
cassin	NOM	cassin
»	PUN:cit	»
lot	NOM	lot
n	VER:impf	n
°	NOM	°
7	NUM	@card@
à	PRP	à
m.	NOM	monsieur
et	KON	et
mme	NOM	madame
laurent	VER:pres	laurer
luzy	NOM	luzy
.	SENT	.
