amancey	NOM	amancey
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
amathey	NOM	amathey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
arc-et-senans	NOM	arc-et-senans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
église	NOM	église
saint-bénigne	ADJ	saint-bénigne
.	SENT	.
auxon-dessus	NOM	auxon-dessus
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
avanne	NOM	avanne
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
11	NUM	@card@
h.	ABR	h.
brussey	NOM	brussey
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
byans-sur-doubs	NOM	byans-sur-doubs
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
chatillon-le-duc	NOM	chatillon-le-duc
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
chemaudin	NOM	chemaudin
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
cléron	NOM	cléron
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
deservillers	NOM	deservillers
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
devecey	NOM	devecey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
ecole-valentin	NOM	ecole-valentin
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
foucherans	NOM	foucherans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
franois	NOM	franois
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
glamondans	NOM	glamondans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
haute-pierre	NOM	haute-pierre
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
laissey	NOM	laissey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
la	DET:ART	le
vèze	NOM	vèze
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
mamirolle	NOM	mamirolle
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
marchaux	NOM	marchaux
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
merey-sous-montrond	NOM	merey-sous-montrond
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
montgesoye	NOM	montgesoye
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
montmahoux	NOM	montmahoux
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
montferrand	NOM	montferrand
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
mouthier	NOM	mouthier
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
myon	NOM	myon
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
11	NUM	@card@
h.	ABR	h.
nancray	NOM	nancray
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
nans-sous-sainte-anne	NOM	nans-sous-sainte-anne
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
notre-dame-du-chene	NOM	notre-dame-du-chene
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
ornans	NOM	ornans
:	PUN	:
chapelle	NOM	chapelle
de	PRP	de
la	DET:ART	le
visitation	NOM	visitation
,	PUN	,
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
pelousey	NOM	pelousey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
pouilley-français	NOM	pouilley-français
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
pouilley-les-vignes	NOM	pouilley-les-vignes
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
pugey	NOM	pugey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
quingey	NOM	quingey
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
recologne	NOM	recologne
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
roche-lez-beaupré	NOM	roche-lez-beaupré
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
roset-fluans	NOM	roset-fluans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
roulans	NOM	roulans
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
saint-vit	NOM	saint-vit
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
saone	NOM	saone
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
thise	NOM	thise
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
torpes	NOM	torpes
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
