gardiens	NOM	gardien
:	PUN	:
barthez	NOM	barthez
(	PUN	(
manchester	VER:infi	manchester
united	NOM	united
),	ADJ	),
coupet	NOM	coupet
(	PUN	(
lyon	NOM	lyon
).	VER:ppre	).
défenseurs	NOM	défenseur
:	PUN	:
desailly	NOM	desailly
(	PUN	(
chelsea	NOM	chelsea
),	ADJ	),
gallas	VER:simp	galler
(	PUN	(
chelsea	NOM	chelsea
),	ADJ	),
lizarazu	ADJ	lizarazu
(	PUN	(
bayern	VER:futu	bayern
munich	NOM	munich
),	ADJ	),
mexès	NOM	mexès
(	PUN	(
auxerre	NOM	auxerre
),	ADJ	),
silvestre	NOM	silvestre
(	PUN	(
manchester	VER:infi	manchester
united	NOM	united
),	ADJ	),
thuram	NOM	thuram
(	PUN	(
juventus	ADJ	juventus
turin	NOM	turin
).	VER:subi	).
milieux	NOM	milieu
:	PUN	:
giuly	NOM	giuly
(	PUN	(
monaco	NOM	monaco
),	ADJ	),
makelele	NOM	makelele
(	PUN	(
real	NOM	real
madrid	NAM	Madrid
),	ADJ	),
pedretti	NOM	pedretti
(	PUN	(
sochaux	ADJ	sochaux
),	NOM	),
petit	ADJ	petit
(	PUN	(
chelsea	NOM	chelsea
),	ADJ	),
pires	ADJ	pire
(	PUN	(
arsenal	NOM	arsenal
),	ADJ	),
vieira	VER:futu	vieira
(	PUN	(
arsenal	NOM	arsenal
),	ADJ	),
wiltord	NOM	wiltord
(	PUN	(
arsenal	NOM	arsenal
),	ADJ	),
zidane	ADJ	zidane
(	PUN	(
real	NOM	real
madrid	NAM	Madrid
).	VER:futu	).
attaquants	ADJ	attaquant
:	PUN	:
cissé	VER:pper	cissé
(	PUN	(
auxerre	NOM	auxerre
),	ADJ	),
henry	NOM	henry
(	PUN	(
arsenal	NOM	arsenal
),	ADJ	),
marlet	NOM	marlet
(	PUN	(
fulham	NOM	fulham
),	ADJ	),
trezeguet	ADJ	trezeguet
(	PUN	(
juventus	ADJ	juventus
turin	NOM	turin
).	ADJ	).
