pour	PRP	pour
la	DET:ART	le
section	NOM	section
de	PRP	de
vigneulles	NOM	vigneulles
du	PRP:det	du
club	NOM	club
des	PRP:det	du
côtes	NOM	côte
,	PUN	,
qui	PRO:REL	qui
se	PRO:PER	se
réunira	VER:futu	réunir
en	PRP	en
assemblée	NOM	assemblée
générale	ADJ	général
demain	ADV	demain
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
saint-rémy	NOM	saint-rémy
de	PRP	de
vigneulles	NOM	vigneulles
,	PUN	,
le	DET:ART	le
calendrier	NOM	calendrier
des	PRP:det	du
activités	NOM	activité
et	KON	et
randonnées	NOM	randonnée
pédestres	ADJ	pédestre
,	PUN	,
avec	PRP	avec
rendez-vous	NOM	rendez-vous
les	DET:ART	le
dimanches	NOM	dimanche
à	PRP	à
9	NUM	@card@
h	ABR	heure
,	PUN	,
sauf	PRP	sauf
exceptions	NOM	exception
,	PUN	,
est	VER:pres	être
le	DET:ART	le
suivant	NOM	suivant
:	PUN	:
mercredi	NOM	mercredi
19	NUM	@card@
février	NOM	février
,	PUN	,
saint-benoît	NOM	saint-benoît
,	PUN	,
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
chênes	NOM	chêne
pédonc	ADJ	pédonc
et	KON	et
sessiles	ADJ	sessile
»	PUN:cit	»
;	PUN	;
2	NUM	@card@
mars	NOM	mars
,	PUN	,
lamorville	NOM	lamorville
,	PUN	,
«	PUN:cit	«
a	VER:pres	avoir
vos	DET:POS	votre
beignets	NOM	beignet
!	SENT	!
»	PUN:cit	»
;	PUN	;
16	NUM	@card@
mars	NOM	mars
,	PUN	,
lahaymeix	NOM	lahaymeix
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
vent	NOM	vent
des	PRP:det	du
forêts	NOM	forêt
»	PUN:cit	»
;	PUN	;
30	NUM	@card@
mars	NOM	mars
,	PUN	,
varvinay	NOM	varvinay
,	PUN	,
«	PUN:cit	«
la	DET:ART	le
damechonne	NOM	damechonne
»	PUN:cit	»
;	PUN	;
6	NUM	@card@
avril	NOM	avril
,	PUN	,
vaucouleurs	NOM	vaucouleurs
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
bol	NOM	bol
d'	PRP	de
air	NOM	air
»	PUN:cit	»
;	PUN	;
13	NUM	@card@
avril	NOM	avril
,	PUN	,
lironville	NOM	lironville
(	PUN	(
54	NUM	@card@
),	NOM	),
«	PUN:cit	«
l'	DET:ART	le
esch	NOM	esch
»	PUN:cit	»
;	PUN	;
27	NUM	@card@
avril	NOM	avril
,	PUN	,
bonzée	VER:pper	bonzée
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
colvert	NOM	colvert
»	PUN:cit	»
;	PUN	;
jeudi	NOM	jeudi
8	NUM	@card@
mai	NOM	mai
,	PUN	,
ville-en-woëvre	NOM	ville-en-woëvre
,	PUN	,
marche	NOM	marche
populaire	ADJ	populaire
;	PUN	;
18	NUM	@card@
mai	NOM	mai
,	PUN	,
lérouville	NOM	lérouville
,	PUN	,
rando	NOM	rando
j.	VER:ppre	j.
level	NOM	level
;	PUN	;
1	NUM	@card@
e	NOM	e
r	VER:subi	r
juin	NOM	juin
,	PUN	,
sommedieue	NOM	sommedieue
,	PUN	,
rando	NOM	rando
adapeim	NOM	adapeim
;	PUN	;
du	PRP:det	du
12	NUM	@card@
au	PRP:det	au
15	NUM	@card@
juin	NOM	juin
,	PUN	,
villers-le-lac	NOM	villers-le-lac
(	PUN	(
jura	VER:simp	jurer
),	NOM	),
«	PUN:cit	«
le	PRO:PER	le
jura	VER:simp	jurer
de	PRP	de
jacqueline	NOM	jacqueline
»	PUN:cit	»
;	PUN	;
29	NUM	@card@
juin	NOM	juin
,	PUN	,
ville-sur-yron	NOM	ville-sur-yron
(	PUN	(
54	NUM	@card@
),	NOM	),
l'	DET:ART	le
écovillage	NOM	écovillage
;	PUN	;
13	NUM	@card@
juillet	NOM	juillet
,	PUN	,
vaux-les-palameix	NOM	vaux-les-palameix
,	PUN	,
«	PUN:cit	«
par	PRP	par
vaux	NOM	val|vaux
et	KON	et
par	PRP	par
monts	NOM	mont
»	PUN:cit	»
;	PUN	;
27	NUM	@card@
juillet	NOM	juillet
,	PUN	,
saint-maurice	NAM	saint-maurice
,	PUN	,
le	DET:ART	le
fameux	ADJ	fameux
barbecue	NOM	barbecue
;	PUN	;
10	NUM	@card@
août	NOM	août
,	PUN	,
saint-mihiel	ADJ	saint-mihiel
,	PUN	,
«	PUN:cit	«
les	DET:ART	le
dames	NOM	dame
de	PRP	de
saint-mihiel	NOM	saint-mihiel
»	PUN:cit	»
;	PUN	;
24	NUM	@card@
août	NOM	août
,	PUN	,
belleray	NOM	belleray
,	PUN	,
«	PUN:cit	«
la	DET:ART	le
meuse	ADJ	meuse
endormeuse	NOM	endormeur
»	PUN:cit	»
;	PUN	;
31	NUM	@card@
août	NOM	août
,	PUN	,
hannonville	NOM	hannonville
,	PUN	,
huitième	ADJ	huitième
marche	NOM	marche
des	PRP:det	du
côtes	NOM	côte
de	PRP	de
meuse	NOM	meuse
;	PUN	;
14	NUM	@card@
septembre	NOM	septembre
,	PUN	,
hattonville	NOM	hattonville
,	PUN	,
marche	NOM	marche
populaire	ADJ	populaire
;	PUN	;
21	NUM	@card@
septembre	NOM	septembre
,	PUN	,
le	DET:ART	le
lac	NOM	lac
du	PRP:det	du
der	NOM	der
(	PUN	(
52	NUM	@card@
),	NOM	),
«	PUN:cit	«
autour	ADV	autour
du	PRP:det	du
lac	NOM	lac
»	PUN:cit	»
;	PUN	;
mercredi	NOM	mercredi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
octobre	NOM	octobre
,	PUN	,
gussainville	NOM	gussainville
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
manège	NOM	manège
»	PUN:cit	»
