spectacles	NOM	spectacle
:	PUN	:
«	PUN:cit	«
l'	DET:ART	le
etranger	NOM	etranger
»	PUN:cit	»
au	PRP:det	au
grenier	NOM	grenier
théâtre	NOM	théâtre
à	PRP	à
10	NUM	@card@
h	ABR	heure
et	KON	et
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
«	PUN:cit	«
marivaux	ADJ	marivaux
»	PUN:cit	»
pour	PRP	pour
les	DET:ART	le
scolaires	ADJ	scolaire
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
pour	PRP	pour
tout	PRO:IND	tout
public	NOM	public
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
par	PRP	par
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
la	DET:ART	le
mjc	NOM	mjc
de	PRP	de
yutz	NAM	yutz
,	PUN	,
sur	PRP	sur
les	DET:ART	le
planches	NOM	planche
du	PRP:det	du
théâtre	NOM	théâtre
;	PUN	;
«	PUN:cit	«
cantate	NOM	cantate
de	PRP	de
la	DET:ART	le
paix	NOM	paix
»	PUN:cit	»
avec	PRP	avec
arpège	NOM	arpège
,	PUN	,
au	PRP:det	au
centre	NOM	centre
mondial	ADJ	mondial
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
;	PUN	;
entrée	NOM	entrée
gratuite	ADJ	gratuit
.	SENT	.
mutilés	VER:pper	mutiler
de	PRP	de
la	DET:ART	le
voix	NOM	voix
:	PUN	:
permanence	NOM	permanence
des	PRP:det	du
laryngtomisés	NOM	laryngtomisés
et	KON	et
mutilés	VER:pper	mutiler
de	PRP	de
la	DET:ART	le
voix	NOM	voix
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
des	PRP:det	du
sociétés	NOM	société
de	PRP	de
14	NUM	@card@
à	PRP	à
16	NUM	@card@
h.	ABR	h.
conjoints	NOM	conjoint
survivants	ADJ	survivant
:	PUN	:
assemblée	NOM	assemblée
générale	ADJ	général
des	PRP:det	du
conjoints	NOM	conjoint
survivants	ADJ	survivant
,	PUN	,
salle	NOM	salle
de	PRP	de
l'	DET:ART	le
udaf	NOM	udaf
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
favec	NOM	favec
:	PUN	:
assemblée	NOM	assemblée
générale	ADJ	général
rue	NOM	rue
de	PRP	de
cumières	NOM	cumières
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
exposition	NOM	exposition
:	PUN	:
véronique	NOM	véronique
albert	NOM	albert
wouters	NOM	wouters
chez	PRP	chez
miraucourt	ADJ	miraucourt
literies	NOM	literie
à	PRP	à
18	NUM	@card@
h.	ABR	h.
autour	ADV	autour
de	PRP	de
la	DET:ART	le
bible	NOM	bible
:	PUN	:
réunion	NOM	réunion
des	PRP:det	du
chrétiens	NOM	chrétien
autour	ADV	autour
de	PRP	de
la	DET:ART	le
bible	NOM	bible
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
des	PRP:det	du
sociétés	NOM	société
à	PRP	à
20	NUM	@card@
h.	ABR	h.
