réhabilitation	NOM	réhabilitation
du	PRP:det	du
réseau	NOM	réseau
de	PRP	de
collecte	NOM	collecte
des	PRP:det	du
eaux	NOM	eau
usées	VER:pper	user
rue	NOM	rue
du	PRP:det	du
château-muguet	NOM	château-muguet
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
réaliser	VER:infi	réaliser
et	KON	et
financer	VER:infi	financer
les	DET:ART	le
travaux	NOM	travail
:	PUN	:
20.883	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
adduction	NOM	adduction
d'	PRP	de
eau	NOM	eau
potable	ADJ	potable
rue	NOM	rue
du	PRP:det	du
château-muguet	NOM	château-muguet
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
réaliser	VER:infi	réaliser
et	KON	et
financer	VER:infi	financer
les	DET:ART	le
travaux	NOM	travail
:	PUN	:
20.278	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
reprise	NOM	reprise
des	PRP:det	du
eaux	NOM	eau
usées	ADJ	usé
,	PUN	,
mise	VER:pper	mettre
en	PRP	en
séparatif	ADJ	séparatif
rue	NOM	rue
de	PRP	de
la	DET:ART	le
gare	NOM	gare
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
réaliser	VER:infi	réaliser
et	KON	et
financer	VER:infi	financer
les	DET:ART	le
travaux	NOM	travail
,	PUN	,
dont	PRO:REL	dont
97.580	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
eclairage	NOM	eclairage
public	ADJ	public
rue	NOM	rue
du	PRP:det	du
château-muguet	NOM	château-muguet
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
réaliser	VER:infi	réaliser
et	KON	et
financer	VER:infi	financer
les	DET:ART	le
travaux	NOM	travail
:	PUN	:
8.520	NUM	@card@
	NOM	
ht	ADJ	ht
.	SENT	.
onf	NOM	onf
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
autorise	VER:pres	autoriser
l'	DET:ART	le
onf	NOM	onf
à	PRP	à
marquer	VER:infi	marquer
les	DET:ART	le
coupes	NOM	coupe
2003	NUM	@card@
-	PUN	-
2004	NUM	@card@
et	KON	et
gérer	VER:infi	gérer
les	DET:ART	le
bois	NOM	bois
en	PRP	en
2003	NUM	@card@
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
accepte	VER:pres	accepter
le	DET:ART	le
budget	NOM	budget
2002	NUM	@card@
dépenses	NOM	dépense
et	KON	et
recettes	NOM	recette
engagées	VER:pper	engager
qui	PRO:REL	qui
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
été	VER:pper	être
mandatées	VER:pper	mandater
au	PRP:det	au
31	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
en	PRP	en
dépenses	NOM	dépense
:	PUN	:
14.833	NUM	@card@
,	PUN	,
77	NUM	@card@
	NOM	
et	KON	et
22.219	NUM	@card@
,	PUN	,
06	NUM	@card@
	NOM	
;	PUN	;
en	PRP	en
recettes	NOM	recette
(	PUN	(
subvention	NOM	subvention
dge	ADJ	dge
)	PUN	)
:	PUN	:
4.815	NUM	@card@
.	ABR	.
pour	PRP	pour
permettre	VER:infi	permettre
d'	PRP	de
engager	VER:infi	engager
et	KON	et
mandater	VER:infi	mandater
des	PRP:det	du
dépenses	NOM	dépense
d'	PRP	de
investissement	NOM	investissement
avant	PRP	avant
le	DET:ART	le
vote	NOM	vote
du	PRP:det	du
budget	NOM	budget
2003	NUM	@card@
on	PRO:PER	on
doit	VER:pres	devoir
ouvrir	VER:infi	ouvrir
des	PRP:det	du
crédits	NOM	crédit
correspondants	ADJ	correspondant
.	SENT	.
cette	PRO:DEM	ce
autorisation	NOM	autorisation
est	VER:pres	être
limitée	VER:pper	limiter
à	PRP	à
un	DET:ART	un
quart	NOM	quart
des	PRP:det	du
crédits	NOM	crédit
d'	PRP	de
investissements	NOM	investissement
ouverts	VER:pper	ouvrir
de	PRP	de
l'	DET:ART	le
exercice	NOM	exercice
précédent	ADJ	précédent
