nous	PRO:PER	nous
apprenons	VER:pres	apprendre
la	DET:ART	le
naissance	NOM	naissance
d'	PRP	de
un	DET:ART	un
petit	ADJ	petit
dorian	NOM	dorian
survenue	VER:pper	survenir
le	DET:ART	le
27	NUM	@card@
janvier	NOM	janvier
à	PRP	à
nancy	NOM	nancy
.	SENT	.
dorian	NOM	dorian
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
enfant	NOM	enfant
de	PRP	de
eric	ADJ	eric
george	NOM	george
et	KON	et
de	PRP	de
christine	NOM	christine
lescure	ADJ	lescure
,	PUN	,
domiciliés	VER:pper	domicilier
à	PRP	à
pexonne	NOM	pexonne
,	PUN	,
32	NUM	@card@
rue	NOM	rue
de	PRP	de
willermont	NOM	willermont
.	SENT	.
nos	DET:POS	notre
compliments	NOM	compliment
aux	PRP:det	au
parents	NOM	parent|parents
,	PUN	,
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
bébé	NOM	bébé
.	SENT	.
