l'	DET:ART	le
année	NOM	année
dernière	ADJ	dernier
,	PUN	,
peugeot	NOM	peugeot
motocycles	NOM	motocycle
a	VER:pres	avoir
livré	VER:pper	livrer
à	PRP	à
son	DET:POS	son
réseau	NOM	réseau
commercial	ADJ	commercial
,	PUN	,
161.300	NUM	@card@
véhicules	NOM	véhicule
:	PUN	:
38.400	NUM	@card@
cyclomoteurs	NOM	cyclomoteur
;	PUN	;
103.200	NUM	@card@
scooters	NOM	scooter
de	PRP	de
moins	ADV	moins
de	PRP	de
50	NUM	@card@
cm	NOM	cm
3	NUM	@card@
et	KON	et
20.010	NUM	@card@
scooters	NOM	scooter
de	PRP	de
plus	ADV	plus
de	PRP	de
50	NUM	@card@
cm	NOM	cm
3.	KON	@ord@
des	PRP:det	du
chiffre	NOM	chiffre
en	PRP	en
diminution	NOM	diminution
par	PRP	par
rapport	NOM	rapport
à	PRP	à
2001	NUM	@card@
(	PUN	(
179.610	NUM	@card@
deux	NUM	deux
roues	NOM	roue
motorisés	VER:pper	motoriser
).	ADJ	).
