charmes	NOM	charme
:	PUN	:
jusqu'au	NOM	jusqu'au
16	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salons	NOM	salon
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
,	PUN	,
expo	NOM	expo
photos	NOM	photo
,	PUN	,
organisée	VER:pper	organiser
par	PRP	par
le	DET:ART	le
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
epinal	NOM	epinal
:	PUN	:
-	PUN	-
imagerie	NOM	imagerie
d'	PRP	de
epinal	NOM	epinal
,	PUN	,
visite	NOM	visite
guidée	VER:pper	guider
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
,	PUN	,
dimanche	NOM	dimanche
.	SENT	.
l'	DET:ART	le
imagerie	NOM	imagerie
est	VER:pres	être
ouverte	VER:pper	ouvrir
samedi	NOM	samedi
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
dimanche	NOM	dimanche
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
-	PUN	-
musée	NOM	musée
départemental	ADJ	départemental
d'	PRP	de
art	NOM	art
ancien	ADJ	ancien
et	KON	et
contemporain	ADJ	contemporain
ouvert	VER:pper	ouvrir
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h.	ABR	h.
-	PUN	-
jusqu'au	NOM	jusqu'au
16	NUM	@card@
février	NOM	février
,	PUN	,
peintures	NOM	peinture
à	PRP	à
l'	DET:ART	le
huile	NOM	huile
de	PRP	de
rené	VER:pper	renaître
henry	NOM	henry
,	PUN	,
31	NUM	@card@
rue	NOM	rue
notre-dame-de-lorette	NOM	notre-dame-de-lorette
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
_	ABR	_
jusqu'au	NOM	jusqu'au
14	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
la	DET:ART	le
mjc	NOM	mjc
savouret	ADJ	savouret
,	PUN	,
salle	NOM	salle
cocteau	NOM	cocteau
,	PUN	,
quelques	PRO:IND	quelque
artistes	NOM	artiste
vosgiens	ADJ	vosgien
présentent	VER:pres	présenter
des	PRP:det	du
huiles	NOM	huile
et	KON	et
des	PRP:det	du
aquarelles	NOM	aquarelle
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
renseignements	NOM	renseignement
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
82.12	NUM	@card@
.	SENT	.
59	NUM	@card@
le	DET:ART	le
thillot	NOM	thillot
:	PUN	:
«	PUN:cit	«
les	DET:ART	le
hautes	ADJ	haut
mynes	NOM	mynes
»,	ADJ	»,
renseignements	NOM	renseignement
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
25.03	NUM	@card@
.	SENT	.
33	NUM	@card@
visite	NOM	visite
guidée	VER:pper	guider
du	PRP:det	du
site	NOM	site
minier	ADJ	minier
+	SYM	+
maison	NOM	maison
des	PRP:det	du
hautes-mynes	NOM	hautes-mynes
.	SENT	.
tarif	NOM	tarif
:	PUN	:
5	NUM	@card@
	NOM	
adultes	ADJ	adulte
et	KON	et
2,50	NUM	@card@
	ADJ	
enfants	NOM	enfant
de	PRP	de
6	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
.	SENT	.
raon-l'etape	NOM	raon-l'etape
:	PUN	:
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
,	PUN	,
dimanche	NOM	dimanche
et	KON	et
lundi	NOM	lundi
,	PUN	,
atelier	NOM	atelier
,	PUN	,
rue	NOM	rue
jules	NOM	jules
ferry	NOM	ferry
,	PUN	,
expo	NOM	expo
de	PRP	de
bijoux	NOM	bijou
de	PRP	de
nathalie	NOM	nathalie
lahaye	NOM	lahaye
,	PUN	,
et	KON	et
peintures	NOM	peinture
de	PRP	de
carmen	NOM	carmen
pasini	NAM	pasini
.	SENT	.
remiremont	VER:futu	remiremont
:	PUN	:
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
semaine	NOM	semaine
de	PRP	de
photographie	NOM	photographie
,	PUN	,
exposition	NOM	exposition
masqu'parade	ADJ	masqu'parade
des	PRP:det	du
photographies	NOM	photographie
de	PRP	de
colomba	NOM	colomba
ulysse	VER:subi	ulysse
,	PUN	,
salle	NOM	salle
charles	NOM	charles
de	PRP	de
gaulle	NOM	gaulle
,	PUN	,
bibliothèque	NOM	bibliothèque
,	PUN	,
vendredi	NOM	vendredi
