saint-etienne-les-remiremont	NOM	saint-etienne-les-remiremont
:	PUN	:
exposition	NOM	exposition
sur	PRP	sur
la	DET:ART	le
guerre	NOM	guerre
d'	PRP	de
algérie	NOM	algérie
,	PUN	,
salle	NOM	salle
des	PRP:det	du
conférences	NOM	conférence
,	PUN	,
dimanche	NOM	dimanche
en	PRP	en
journée	NOM	journée
,	PUN	,
organisée	VER:pper	organiser
par	PRP	par
la	DET:ART	le
fnaca	NOM	fnaca
.	SENT	.
saint-dié-des-vosges	NOM	saint-dié-des-vosges
:	PUN	:
-	PUN	-
jusqu'au	NOM	jusqu'au
16	NUM	@card@
mars	NOM	mars
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
musée	NOM	musée
pierre	NOM	pierre
noël	NOM	noël
,	PUN	,
le	DET:ART	le
décor	NOM	décor
«	PUN:cit	«
architectural	ADJ	architectural
»	PUN:cit	»
dans	PRP	dans
les	DET:ART	le
manufactures	NOM	manufacture
de	PRP	de
faïences	NOM	faïence
de	PRP	de
l'	DET:ART	le
est	NOM	est
(	PUN	(
18	NUM	@card@
e	NOM	e
et	KON	et
19	NUM	@card@
e).	ABR	e).
_	ABR	_
jusqu'au	NOM	jusqu'au
2	NUM	@card@
mars	NOM	mars
,	PUN	,
espace	NOM	espace
georges	ADJ	georges
sadoul	NOM	sadoul
,	PUN	,
expositions	NOM	exposition
«	PUN:cit	«
vaches	NOM	vache
interdites	ADJ	interdit
»	PUN:cit	»
peintures	NOM	peinture
de	PRP	de
m.	ABR	m.
mille	NUM	mille
et	KON	et
«	PUN:cit	«
rues	NOM	rue
catalanes	ADJ	catalan
»	PUN:cit	»
de	PRP	de
b.	ABR	b.
mille	NUM	mille
,	PUN	,
entrée	NOM	entrée
libre	ADJ	libre
,	PUN	,
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
week-end	NOM	week-end
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h.	ABR	h.
-	PUN	-
jusqu'au	NOM	jusqu'au
16	NUM	@card@
mars	NOM	mars
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
musée	NOM	musée
pierre	NOM	pierre
noël	NOM	noël
,	PUN	,
fonds	NOM	fond|fonds
régional	ADJ	régional
d'	PRP	de
art	NOM	art
contemporain	ADJ	contemporain
de	PRP	de
lorraine	NOM	lorrain
.	SENT	.
-	PUN	-
jusqu'au	NOM	jusqu'au
15	NUM	@card@
juin	NOM	juin
«	PUN:cit	«
en	PRP	en
passant	VER:ppre	passer
par	PRP	par
...	PUN	...
»	PUN:cit	»
la	DET:ART	le
lorraine	ADJ	lorrain
vue	NOM	vue
par	PRP	par
ses	DET:POS	son
peintres	NOM	peintre
,	PUN	,
au	PRP:det	au
musée	NOM	musée
pierre	NOM	pierre
noël	NOM	noël
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
-	PUN	-
jusqu'au	NOM	jusqu'au
22	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
des	PRP:det	du
arts	NOM	art
plastiques	ADJ	plastique
,	PUN	,
peinture	NOM	peinture
80	NUM	@card@
x	NOM	x
80	NUM	@card@
«	PUN:cit	«
l'	DET:ART	le
infini	NOM	infini
».	ABR	».
-	PUN	-
exposition	NOM	exposition
permanente	ADJ	permanent
,	PUN	,
«	PUN:cit	«
les	DET:ART	le
bijoux	NOM	bijou
de	PRP	de
braque	ADJ	braque
»,	NOM	»,
à	PRP	à
la	DET:ART	le
tour	NOM	tour
de	PRP	de
la	DET:ART	le
liberté	NOM	liberté
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
entrée	NOM	entrée
:	PUN	:
3,05	NUM	@card@
	NOM	
et	KON	et
2,29	NUM	@card@
.	ABR	.
ville-sur-illon	NOM	ville-sur-illon
:	PUN	:
eco-musée	VER:pper	eco-musée
brasserie	NOM	brasserie
,	PUN	,
ouvert	ADJ	ouvert
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
visites	NOM	visite
guidées	VER:pper	guider
à	PRP	à
15	NUM	@card@
h	ABR	heure
et	KON	et
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
