masculins	ADJ	masculin
:	PUN	:
1	NUM	@card@
vukovic	NOM	vukovic
(	PUN	(
audincourt	ADJ	audincourt
)	PUN	)
1	NUM	@card@
'	PUN	'
42	NUM	@card@
''	NOM	''
31	NUM	@card@
;	PUN	;
2	NUM	@card@
bouthiaux	NOM	bouthiaux
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
1	NUM	@card@
'	PUN	'
45	NUM	@card@
''	NOM	''
83	NUM	@card@
;	PUN	;
3	NUM	@card@
dumont-fillon	NOM	dumont-fillon
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
1	NUM	@card@
'	PUN	'
46	NUM	@card@
''	NOM	''
74	NUM	@card@
;	PUN	;
4	NUM	@card@
prost	NOM	prost
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
47	NUM	@card@
''	NOM	''
23	NUM	@card@
;	PUN	;
5	NUM	@card@
froment	NOM	froment
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
01	NUM	@card@
;	PUN	;
6	NUM	@card@
auzias	NOM	auzias
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
07	NUM	@card@
;	PUN	;
7	NUM	@card@
mouquand	NOM	mouquand
(	PUN	(
audincourt	ADJ	audincourt
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
13	NUM	@card@
;	PUN	;
8	NUM	@card@
benoit-guyod	NOM	benoit-guyod
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
21	NUM	@card@
;	PUN	;
9	NUM	@card@
saillard	NOM	saillard
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
30	NUM	@card@
;	PUN	;
10	NUM	@card@
bailly	NOM	bailly
x.	ABR	x.
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
45	NUM	@card@
;	PUN	;
11	NUM	@card@
bailly	NOM	bailly
m.	ABR	m.
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
90	NUM	@card@
;	PUN	;
12	NUM	@card@
sandona	NOM	sandona
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
48	NUM	@card@
''	NOM	''
91	NUM	@card@
;	PUN	;
13	NUM	@card@
jacquet	NOM	jacquet
(	PUN	(
morbier	NOM	morbier
)	PUN	)
1	NUM	@card@
'	PUN	'
49	NUM	@card@
''	NOM	''
48	NUM	@card@
;	PUN	;
14	NUM	@card@
mullet	NOM	mullet
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
'	PUN	'
50	NUM	@card@
''	NOM	''
27	NUM	@card@
;	PUN	;
15	NUM	@card@
vermot	NOM	vermot
desroches	ADJ	desroches
(	PUN	(
sc	NOM	sc
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
50	NUM	@card@
''	NOM	''
46	NUM	@card@
;	PUN	;
16	NUM	@card@
siron	NOM	siron
(	PUN	(
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
51	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
17	NUM	@card@
crétin	NOM	crétin
(	PUN	(
bois	NOM	bois
d'	PRP	de
amont	NOM	amont
)	PUN	)
1	NUM	@card@
'	PUN	'
51	NUM	@card@
''	NOM	''
78	NUM	@card@
;	PUN	;
18	NUM	@card@
franchi	VER:pper	franchir
(	PUN	(
co	VER:simp	co
arinella	NOM	arinella
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
19	NUM	@card@
;	PUN	;
19	NUM	@card@
angulo	NOM	angulo
(	PUN	(
oyonnax	NOM	oyonnax
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
91	NUM	@card@
;	PUN	;
20	NUM	@card@
vandel	NOM	vandel
(	PUN	(
les	DET:ART	le
rousses	NOM	rousse
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
01	NUM	@card@
;	PUN	;
21	NUM	@card@
guillet	NOM	guillet
(	PUN	(
belgarde	NOM	belgarde
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
23	NUM	@card@
;	PUN	;
22	NUM	@card@
saget	NOM	saget
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
47	NUM	@card@
;	PUN	;
23	NUM	@card@
clapier	NOM	clapier
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
53	NUM	@card@
''	NOM	''
50	NUM	@card@
;	PUN	;
24	NUM	@card@
houberdon	NOM	houberdon
(	PUN	(
sochaux	ADJ	sochaux
)	PUN	)
1	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
02	NUM	@card@
;	PUN	;
25	NUM	@card@
siron	NOM	siron
n.	ABR	n.
(	PUN	(
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
12	NUM	@card@
;	PUN	;
26	NUM	@card@
joly	NOM	joly
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
54	NUM	@card@
''	NOM	''
47	NUM	@card@
;	PUN	;
27	NUM	@card@
ropraz	NOM	ropraz
(	PUN	(
st	VER:simp	st
jenis	VER:pper	jenis
)	PUN	)
1	NUM	@card@
'	PUN	'
55	NUM	@card@
''	NOM	''
51	NUM	@card@
;	PUN	;
28	NUM	@card@
post	NOM	post
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
01	NUM	@card@
;	PUN	;
29	NUM	@card@
richard	NOM	richard
(	PUN	(
st	VER:simp	st
laurent	VER:pres	laurer
)	PUN	)
1	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
26	NUM	@card@
;	PUN	;
30	NUM	@card@
arbez	VER:pres	arbez
(	PUN	(
oyonnax	NOM	oyonnax
)	PUN	)
1	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
72	NUM	@card@
;	PUN	;
31	NUM	@card@
salvi	NOM	salvi
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
57	NUM	@card@
''	NOM	''
76	NUM	@card@
;	PUN	;
32	NUM	@card@
dartevelle	NOM	dartevelle
(	PUN	(
pontarlier	NOM	pontarlier
)	PUN	)
1	NUM	@card@
'	PUN	'
57	NUM	@card@
''	NOM	''
80	NUM	@card@
;	PUN	;
33	NUM	@card@
germann	NOM	germann
(	PUN	(
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
58	NUM	@card@
''	NOM	''
16	NUM	@card@
;	PUN	;
34	NUM	@card@
corjon	NOM	corjon
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
58	NUM	@card@
''	NOM	''
34	NUM	@card@
;	PUN	;
35	NUM	@card@
vermot	NOM	vermot
desroches	ADJ	desroches
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
58	NUM	@card@
''	NOM	''
83	NUM	@card@
;	PUN	;
36	NUM	@card@
fugain	NOM	fugain
(	PUN	(
us	NOM	us
chaumeran	ADJ	chaumeran
)	PUN	)
1	NUM	@card@
'	PUN	'
59	NUM	@card@
''	NOM	''
43	NUM	@card@
féminines	ADJ	féminin
:	PUN	:
1	NUM	@card@
bargot	NOM	bargot
(	PUN	(
chaumeran	NOM	chaumeran
)	PUN	)
1	NUM	@card@
'	PUN	'
49	NUM	@card@
''	NOM	''
05	NUM	@card@
;	PUN	;
2	NUM	@card@
fornage	NOM	fornage
marine	ADJ	marin
(	PUN	(
morteau	NOM	morteau
)	PUN	)
1	NUM	@card@
'	PUN	'
50	NUM	@card@
''	NOM	''
10	NUM	@card@
;	PUN	;
3	NUM	@card@
sandona	NOM	sandona
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
66	NUM	@card@
;	PUN	;
4	NUM	@card@
post	NOM	post
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
'	PUN	'
52	NUM	@card@
''	NOM	''
69	NUM	@card@
;	PUN	;
5	NUM	@card@
robbe	NOM	robbe
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
55	NUM	@card@
''	NOM	''
25	NUM	@card@
;	PUN	;
6	NUM	@card@
faveret	NOM	faveret
(	PUN	(
mont	NOM	mont
d'	PRP	de
or	NOM	or
)	PUN	)
1	NUM	@card@
'	PUN	'
56	NUM	@card@
''	NOM	''
59	NUM	@card@
;	PUN	;
7	NUM	@card@
villet	NOM	villet
(	PUN	(
sc	NOM	sc
jessien	ADJ	jessien
)	PUN	)
1	NUM	@card@
