vittel	NAM	Vittel
.	SENT	.
_	NOM	_
pas	ADV	pas
de	PRP	de
doute	NOM	doute
.	SENT	.
son	DET:POS	son
séjour	NOM	séjour
de	PRP	de
6	NUM	@card@
mois	NOM	moi|mois
au	PRP:det	au
kosovo	NOM	kosovo
en	PRO:PER	en
a	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
autre	ADJ	autre
homme	NOM	homme
.	SENT	.
stéphane	ADJ	stéphane
szuster	NOM	szuster
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
à	PRP	à
en	PRO:PER	en
convenir	VER:infi	convenir
:	PUN	:
«	PUN:cit	«
avant	PRP	avant
je	PRO:PER	je
plafonnais	VER:impf	plafonner
à	PRP	à
16	NUM	@card@
m.	ABR	m.
tout	ADV	tout
simplement	ADV	simplement
parce	KON	parce
que	KON	que
je	PRO:PER	je
me	PRO:PER	me
posais	VER:impf	poser
trop	ADV	trop
de	PRP	de
questions	NOM	question
.	SENT	.
je	PRO:PER	je
réfléchissais	VER:impf	réfléchir
trop	ADV	trop
et	KON	et
je	PRO:PER	je
n'	ADV	ne
avais	VER:impf	avoir
pas	ADV	pas
assez	ADV	assez
confiance	NOM	confiance
en	PRP	en
moi	PRO:PER	moi
.	SENT	.
là-bas	ADV	là-bas
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
eu	VER:pper	avoir
tout	PRO:IND	tout
le	DET:ART	le
loisir	NOM	loisir
de	PRP	de
travailler	VER:infi	travailler
ma	DET:POS	mon
musculation	NOM	musculation
.	SENT	.
physiquement	ADV	physiquement
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
revenu	VER:pper	revenir
plus	ADV	plus
fort	ADJ	fort
.	SENT	.
et	KON	et
puis	ADV	puis
,	PUN	,
surtout	ADV	surtout
,	PUN	,
à	PRP	à
mon	DET:POS	mon
retour	NOM	retour
en	PRP	en
septembre	NOM	septembre
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
décidé	VER:pper	décider
de	PRP	de
tout	ADV	tout
reprendre	VER:infi	reprendre
au	PRP:det	au
plan	NOM	plan
technique	ADJ	technique
avec	PRP	avec
l'	DET:ART	le
aide	NOM	aide
de	PRP	de
fabienne	NOM	fabienne
locuty	ADJ	locuty
.	SENT	.
en	PRO:PER	en
changeant	VER:ppre	changer
mon	DET:POS	mon
attitude	NOM	attitude
dans	PRP	dans
le	DET:ART	le
geste	NOM	geste
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
bassin	NOM	bassin
,	PUN	,
afin	KON	afin
que	KON	que
les	DET:ART	le
bras	NOM	bras
se	PRO:PER	se
trouvent	VER:pres	trouver
dans	PRP	dans
le	DET:ART	le
même	ADJ	même
axe	NOM	axe
.	SENT	.
et	KON	et
aujourd'hui	ADV	aujourd'hui
,	PUN	,
les	DET:ART	le
résultats	NOM	résultat
sont	VER:pres	être
là	ADV	là
,	PUN	,
même	ADV	même
si	ADV	si
au	PRP:det	au
niveau	NOM	niveau
de	PRP	de
la	DET:ART	le
récupération	NOM	récupération
je	PRO:PER	je
ne	ADV	ne
bénéficie	VER:pres	bénéficier
pas	ADV	pas
de	PRP	de
conditions	NOM	condition
idéales	ADJ	idéal
».	VER:simp	».
sergent	NOM	sergent
au	PRP:det	au
ctac	NOM	ctac
de	PRP	de
nancy	NOM	nancy
,	PUN	,
le	DET:ART	le
sociétaire	NOM	sociétaire
de	PRP	de
la	DET:ART	le
resda	NOM	resda
est	VER:pres	être
en	PRP	en
effet	NOM	effet
resté	VER:pper	rester
dans	PRP	dans
son	DET:POS	son
environnement	NOM	environnement
familial	ADJ	familial
