assistante	NOM	assistant
sociale	ADJ	social
:	PUN	:
jeudi	NOM	jeudi
13	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
sur	PRP	sur
rendez-vous	NOM	rendez-vous
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
20.02	NUM	@card@
.	SENT	.
84	NUM	@card@
cpam	NOM	cpam
vesoul	NOM	vesoul
:	PUN	:
jeudi	NOM	jeudi
13	NUM	@card@
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
aide	NOM	aide
à	PRP	à
domicile	NOM	domicile
:	PUN	:
antenne	NOM	antenne
admr	ADJ	admr
ouverte	VER:pper	ouvrir
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
retraites	VER:pper	retraire
:	PUN	:
permanence	NOM	permanence
de	PRP	de
la	DET:ART	le
cram	NOM	cram
dijon	ADJ	dijon
en	PRP	en
mairie	NOM	mairie
jeudi	NOM	jeudi
13	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
bibliothèque	NOM	bibliothèque
municipale	ADJ	municipal
(	PUN	(
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
)	PUN	)
:	PUN	:
mercredi	NOM	mercredi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
vendredi	NOM	vendredi
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
samedi	NOM	samedi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
sortie	NOM	sortie
pédestre	ADJ	pédestre
avec	PRP	avec
le	DET:ART	le
club	NOM	club
de	PRP	de
marche	NOM	marche
mercredi	NOM	mercredi
12	NUM	@card@
rdv	NOM	rdv
place	VER:pres	placer
de	PRP	de
la	DET:ART	le
gare	NOM	gare
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
rassemblement	NOM	rassemblement
equestre	NOM	equestre
,	PUN	,
en	PRP	en
mairie	NOM	mairie
vendredi	NOM	vendredi
14	NUM	@card@
à	PRP	à
20	NUM	@card@
h.	ABR	h.
messes	NOM	messe
:	PUN	:
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
melisey	NOM	melisey
,	PUN	,
dimanche	NOM	dimanche
16	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
à	PRP	à
servance	NOM	servance
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
haut-du-them	NOM	haut-du-them
et	KON	et
à	PRP	à
fresse	NOM	fresse
.	SENT	.
animation	NOM	animation
:	PUN	:
loto	NOM	loto
du	PRP:det	du
tennis-club	NOM	tennis-club
samedi	NOM	samedi
15	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
