au	PRP:det	au
mégarama	NOM	mégarama
à	PRP	à
ecole-valentin	NOM	ecole-valentin
:	PUN	:
«	PUN:cit	«
le	DET:ART	le
livre	NOM	livre
de	PRP	de
la	DET:ART	le
jungle	NOM	jungle
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
16	NUM	@card@
h	ABR	heure
,	PUN	,
18	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
18	NUM	@card@
ans	NOM	an
après	PRP	après
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
16	NUM	@card@
h	ABR	heure
,	PUN	,
18	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
le	DET:ART	le
cercle	NOM	cercle
»	PUN:cit	»
:	PUN	:
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
16	NUM	@card@
h	ABR	heure
45	NUM	@card@
19	NUM	@card@
h	ABR	heure
45	NUM	@card@
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
la	DET:ART	le
beuze	NOM	beuze
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
16	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
mariage	NOM	mariage
à	PRP	à
la	DET:ART	le
grecque	NOM	grecque
»	PUN:cit	»
:	PUN	:
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
16	NUM	@card@
h	ABR	heure
,	PUN	,
18	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
taxi	NOM	taxi
3	NUM	@card@
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
16	NUM	@card@
h	ABR	heure
,	PUN	,
17	NUM	@card@
h	ABR	heure
,	PUN	,
18	NUM	@card@
h	ABR	heure
,	PUN	,
19	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
rire	VER:infi	rire
et	KON	et
châtiment	NOM	châtiment
»	PUN:cit	»
:	PUN	:
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
16	NUM	@card@
h	ABR	heure
,	PUN	,
18	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
mafia	NOM	mafia
blues	NOM	blues
2	NUM	@card@
-	PUN	-
la	DET:ART	le
rechute	NOM	rechute
»	PUN:cit	»
:	PUN	:
22	NUM	@card@
h	ABR	heure
15	NUM	@card@
«	PUN:cit	«
les	DET:ART	le
hommes	NOM	homme
de	PRP	de
main	NOM	main
»	PUN:cit	»
:	PUN	:
18	NUM	@card@
h.	ABR	h.
«	PUN:cit	«
le	DET:ART	le
château	NOM	château
dans	PRP	dans
le	DET:ART	le
ciel	NOM	ciel
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
gangs	NOM	gang
of	VER:impf	of
new-york	NOM	new-york
»	PUN:cit	»
:	PUN	:
17	NUM	@card@
h	ABR	heure
,	PUN	,
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
le	DET:ART	le
papillon	NOM	papillon
»	PUN:cit	»
:	PUN	:
14	NUM	@card@
h	ABR	heure
,	PUN	,
16	NUM	@card@
h.	ABR	h.
«	PUN:cit	«
les	DET:ART	le
deux	NUM	deux
tours	NOM	tour
»	PUN:cit	»
:	PUN	:
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
21	NUM	@card@
h.	ABR	h.
