chapelle-des-bois	NOM	chapelle-des-bois
:	PUN	:
écomusée	NOM	écomusée
maison	NOM	maison
michaud	ADJ	michaud
,	PUN	,
combe-des-cives	NOM	combe-des-cives
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
chatelblanc	NOM	chatelblanc
:	PUN	:
le	DET:ART	le
refuge	NOM	refuge
de	PRP	de
la	DET:ART	le
perruque	NOM	perruque
,	PUN	,
au	PRP:det	au
pré-poncet	NOM	pré-poncet
,	PUN	,
exposition	NOM	exposition
«	PUN:cit	«
un	DET:ART	un
siècle	NOM	siècle
de	PRP	de
ski	NOM	ski
»,	ABR	»,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.29	NUM	@card@
.	SENT	.
92	NUM	@card@
chaux-neuve	NOM	chaux-neuve
:	PUN	:
parc	NOM	parc
du	PRP:det	du
chien	NOM	chien
polaire	ADJ	polaire
,	PUN	,
l'	DET:ART	le
odyssée	NOM	odyssée
blanche	ADJ	blanc
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
69.20	NUM	@card@
.	SENT	.
20	NUM	@card@
_	NOM	_
démonstration	NOM	démonstration
de	PRP	de
saut	NOM	saut
à	PRP	à
skis	NOM	ski
au	PRP:det	au
tremplin	NOM	tremplin
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
ensuite	ADV	ensuite
soirée	NOM	soirée
tartiflette	ADJ	tartiflette
,	PUN	,
réservation	NOM	réservation
06.87	NUM	@card@
.	SENT	.
28.23	NUM	@card@
.	SENT	.
39	NUM	@card@
et	KON	et
06.82	NUM	@card@
.	SENT	.
07.84	NUM	@card@
.	SENT	.
40	NUM	@card@
labergement-sainte-marie	NOM	labergement-sainte-marie
:	PUN	:
fonderie	NOM	fonderie
de	PRP	de
cloche	NOM	cloche
obertino	NOM	obertino
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
