matchs	NOM	match
remis	VER:pper	remettre
au	PRP:det	au
dimanche	NOM	dimanche
2	NUM	@card@
mars	NOM	mars
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
:	PUN	:
promotion	NOM	promotion
de	PRP	de
district	NOM	district
:	PUN	:
xertigny-charmes	NOM	xertigny-charmes
;	PUN	;
senones-saulcy	ADJ	senones-saulcy
;	PUN	;
le	DET:ART	le
thillot-la	NOM	thillot-la
bresse	ADJ	bresse
.	SENT	.
première	NUM	premier
division	NOM	division
:	PUN	:
nomexy	NOM	nomexy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
coussey	NOM	coussey
;	PUN	;
rambervillers-neufchâteau	NOM	rambervillers-neufchâteau
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
val-de-saône-avière	NOM	val-de-saône-avière
;	PUN	;
vittel	NAM	Vittel
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
contrexéville	NOM	contrexéville
.	SENT	.
val-d'ajol-st-etienne-les-remiremont	VER:futu	val-d'ajol-st-etienne-les-remiremont
;	PUN	;
celles-cheniménil	NOM	celles-cheniménil
;	PUN	;
gérardmer	NOM	gérardmer
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
bruyères	NOM	bruyère
.	SENT	.
promotion	NOM	promotion
première	NUM	premier
division	NOM	division
:	PUN	:
ménil	NOM	ménil
rozerotte-châtenois	ADJ	rozerotte-châtenois
;	PUN	;
damblain-saulxures-les-bulgnéville	NOM	damblain-saulxures-les-bulgnéville
;	PUN	;
rupt-le	NOM	rupt-le
thillot	NOM	thillot
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
st-nabord-cornimont	VER:futu	st-nabord-cornimont
;	PUN	;
plombières	ADJ	plombier
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
ramonchamp	NOM	ramonchamp
;	PUN	;
bru-taintrux	VER:pper	bru-taintrux
;	PUN	;
rambervillers	NOM	rambervillers
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
ste-marguerite	NOM	ste-marguerite
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
thaon	NOM	thaon
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
moyenpetitraon	NOM	moyenpetitraon
.	SENT	.
deuxième	NUM	deuxième
division	NOM	division
:	PUN	:
uriménil-bru	ADJ	uriménil-bru
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
damas-padoux	NOM	damas-padoux
;	PUN	;
st-michel-la	VER:simp	st-michel-la
bourgonce	NOM	bourgonce
;	PUN	;
saulcy	NOM	saulcy
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
fraizeplainfaing	NOM	fraizeplainfaing
.	SENT	.
troisième	NUM	troisième
division	NOM	division
:	PUN	:
bulgnéville	NOM	bulgnéville
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
damblain	ADJ	damblain
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
lerrain	NOM	lerrain
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
hymontdompaire	ADJ	hymontdompaire
(	PUN	(
3	NUM	@card@
)	PUN	)
;	PUN	;
esley-bainsfontenoy	NOM	esley-bainsfontenoy
;	PUN	;
val-d'ajol	NOM	val-d'ajol
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
bainsfontenoy	NOM	bainsfontenoy
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
plombières	ADJ	plombier
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
hadol	NOM	hadol
(	PUN	(
3	NUM	@card@
)	PUN	)
;	PUN	;
ramonchamp	NOM	ramonchamp
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
ménil	NOM	ménil
thillot	NOM	thillot
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
chavelot	NOM	chavelot
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
granges	NOM	grange
(	PUN	(
2	NUM	@card@
)	PUN	)
;	PUN	;
damas	NOM	damas
(	PUN	(
2	NUM	@card@
)	PUN	)
-	PUN	-
vincey	NOM	vincey
;	PUN	;
bru	NOM	bru
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
ste-marguerite	NOM	ste-marguerite
(	PUN	(
3	NUM	@card@
)	PUN	)
;	PUN	;
jeanménilhousseras	NOM	jeanménilhousseras
(	PUN	(
3	NUM	@card@
)	PUN	)
-	PUN	-
fraizeplainfaing	NOM	fraizeplainfaing
(	PUN	(
2	NUM	@card@
).	ABR	).
