sécurité	NOM	sécurité
sociale	ADJ	social
:	PUN	:
une	DET:ART	un
permanence	NOM	permanence
aura	VER:futu	avoir
lieu	NOM	lieu
ce	PRO:DEM	ce
mardi	NOM	mardi
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
de	PRP	de
marnay	NOM	marnay
.	SENT	.
gym	NOM	gym
douce	ADJ	doux
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
corinne-gillier-barbe	NOM	corinne-gillier-barbe
,	PUN	,
avec	PRP	avec
emilie	NOM	emilie
.	SENT	.
peinture	NOM	peinture
sur	PRP	sur
soie	NOM	soie
:	PUN	:
ce	PRO:DEM	ce
mardi	NOM	mardi
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
corinne-gillier-barbe	NOM	corinne-gillier-barbe
.	SENT	.
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
otsi	NOM	otsi
:	PUN	:
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
office	NOM	office
de	PRP	de
tourisme	NOM	tourisme
syndicat	NOM	syndicat
d'	PRP	de
initiative	NOM	initiative
(	PUN	(
otsi	ADJ	otsi
)	PUN	)
de	PRP	de
marnay	NOM	marnay
aura	VER:futu	avoir
lieu	NOM	lieu
jeudi	NOM	jeudi
13	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
exposition	NOM	exposition
d'	PRP	de
aquarelles	NOM	aquarelle
:	PUN	:
une	DET:ART	un
exposition	NOM	exposition
d'	PRP	de
aquarelles	NOM	aquarelle
de	PRP	de
manola	NOM	manola
salvador	ADJ	salvador
,	PUN	,
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
otsi	NOM	otsi
,	PUN	,
aura	VER:futu	avoir
lieu	NOM	lieu
dans	PRP	dans
le	DET:ART	le
hall	NOM	hall
de	PRP	de
l'	DET:ART	le
intermarché	NOM	intermarché
de	PRP	de
marnay	NOM	marnay
,	PUN	,
du	PRP:det	du
21	NUM	@card@
au	PRP:det	au
29	NUM	@card@
février	NOM	février
.	SENT	.
conférence	NOM	conférence
:	PUN	:
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
otsi	NOM	otsi
,	PUN	,
une	DET:ART	un
conférence	NOM	conférence
sur	PRP	sur
la	DET:ART	le
marche	NOM	marche
de	PRP	de
«	PUN:cit	«
bonboillon	NOM	bonboillon
à	PRP	à
compostelle	NOM	compostelle
»	PUN:cit	»
sera	VER:futu	être
donnée	VER:pper	donner
par	PRP	par
madeleine	NOM	madeleine
griselin	NOM	griselin
,	PUN	,
chercheur	ADJ	chercheur
au	PRP:det	au
cnrs	NOM	cnrs
,	PUN	,
et	KON	et
manola	NOM	manola
salvador	ADJ	salvador
,	PUN	,
le	DET:ART	le
28	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
d'	PRP	de
honneur	NOM	honneur
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
.	SENT	.
tarif	NOM	tarif
:	PUN	:
4	NUM	@card@
,	NOM	,
gratuit	ADJ	gratuit
pour	PRP	pour
les	DET:ART	le
moins	ADV	moins
de	PRP	de
12	NUM	@card@
ans	NOM	an
.	SENT	.
