certaines	PRO:IND	certain
des	PRP:det	du
sociétés	NOM	société
privatisées	VER:pper	privatiser
sont	VER:pres	être
devenus	VER:pper	devenir
des	PRP:det	du
must	NOM	must
de	PRP	de
la	DET:ART	le
bourse	NOM	bourse
autrichienne	ADJ	autrichien
,	PUN	,
comme	KON	comme
va	VER:pres	aller
technologie	NOM	technologie
,	PUN	,
le	DET:ART	le
plus	ADV	plus
grand	ADJ	grand
groupe	NOM	groupe
d'	PRP	de
ingénierie	NOM	ingénierie
métallurgique	ADJ	métallurgique
et	KON	et
électronique	ADJ	électronique
(	PUN	(
13	NUM	@card@
300	NUM	@card@
salariés	NOM	salarié
,	PUN	,
chiffre	NOM	chiffre
d'	PRP	de
affaires	NOM	affaire
de	PRP	de
22,5	NUM	@card@
milliards	NOM	milliard
de	PRP	de
schillings	NOM	schilling
),	ADJ	),
cédé	VER:pper	céder
à	PRP	à
hauteur	NOM	hauteur
de	PRP	de
51	NUM	@card@
%	SYM	%
l'	DET:ART	le
été	NOM	été
1994	NUM	@card@
ams	NOM	ams
(	PUN	(
austria	NOM	austria
mikro	NOM	mikro
systeme	NOM	systeme
),	ADJ	),
producteur	ADJ	producteur
de	PRP	de
microprocesseurs	NOM	microprocesseur
,	PUN	,
privatisé	VER:pper	privatiser
à	PRP	à
100	NUM	@card@
%,	NOM	%,
est	VER:pres	être
devenu	VER:pper	devenir
rapidement	ADV	rapidement
leader	NOM	leader
sur	PRP	sur
le	DET:ART	le
marché	NOM	marché
européen	ADJ	européen
de	PRP	de
circuits	NOM	circuit
intégrés	VER:pper	intégrer
spécialisés	VER:pper	spécialiser
(	PUN	(
asic	NOM	asic
),	ADJ	),
avec	PRP	avec
une	DET:ART	un
part	NOM	part
de	PRP	de
marché	NOM	marché
de	PRP	de
30	NUM	@card@
%.	ABR	%.
parmi	PRP	parmi
ces	PRO:DEM	ce
groupes	NOM	groupe
privatisés	VER:pper	privatiser
figurent	VER:pres	figurer
aussi	ADV	aussi
va	VER:pres	aller
eisenbahnsysteme	ADJ	eisenbahnsysteme
,	PUN	,
un	NUM	un
des	PRP:det	du
leaders	NOM	leader
mondiaux	ADJ	mondial
de	PRP	de
matériels	NOM	matériel
de	PRP	de
rails	NOM	rail
et	KON	et
d'	PRP	de
aiguillage	NOM	aiguillage
,	PUN	,
passé	VER:pper	passer
au	PRP:det	au
privé	ADJ	privé
à	PRP	à
100	NUM	@card@
%,	NOM	%,
et	KON	et
asa	NOM	asa
,	PUN	,
spécialiste	NOM	spécialiste
de	PRP	de
traitement	NOM	traitement
de	PRP	de
déchets	NOM	déchet
,	PUN	,
vendu	VER:pper	vendre
à	PRP	à
100	NUM	@card@
%	SYM	%
à	PRP	à
tiru	NOM	tiru
,	PUN	,
filiale	ADJ	filial
de	PRP	de
l'	DET:ART	le
edf	NOM	edf
.	SENT	.
