Key = grande-, Value = 1
Key = l'allemand, Value = 1
Key = de, Value = 3
Key = quatri�me, Value = 1
Key = qui, Value = 1
Key = aux, Value = 1
Key = prix, Value = 1
Key = est, Value = 1
Key = herbert, Value = 1
Key = grands, Value = 1
Key = du, Value = 2
Key = saison, Value = 1
Key = championnat, Value = 1
Key = des, Value = 1
Key = conducteurs, Value = 1
Key = benetton-renault, Value = 1
Key = pris, Value = 1
Key = pilotait, Value = 1
Key = les, Value = 1
Key = place, Value = 1
Key = c�t�s, Value = 1
Key = a, Value = 1
Key = harald, Value = 1
Key = premier, Value = 1
Key = une, Value = 1
Key = heinz-, Value = 1
Key = schumacher, Value = 1
Key = et, Value = 2
Key = michael, Value = 1
Key = d'italie, Value = 1
Key = sauber-ford, Value = 1
Key = pilote, Value = 1
Key = la, Value = 2
Key = derni�re, Value = 1
Key = johnny, Value = 1
Key = frentzen, Value = 1
Key = remport�, Value = 1
Key = monde, Value = 1
Key = le, Value = 1
Key = bretagne, Value = 1
