Key = , Value = 32
Key = poursuivi, Value = 1
Key = (), Value = 2
Key = pun, Value = 11
Key = autant, Value = 2
Key = militaire, Value = 2
Key = région, Value = 1
Key = avoir, Value = 6
Key = etat, Value = 2
Key = matinée, Value = 2
Key = des, Value = 5
Key = tchétchénie, Value = 4
Key = quartier, Value = 2
Key = ver:impf, Value = 1
Key = les, Value = 4
Key = habitant, Value = 2
Key = jamais, Value = 2
Key = déclarer, Value = 2
Key = 11, Value = 2
Key = ", Value = 8
Key = ver:ppre, Value = 1
Key = c', Value = 1
Key = mène, Value = 1
Key = @card@, Value = 2
Key = ai, Value = 1
Key = ver:pres, Value = 8
Key = vedeno, Value = 2
Key = mener, Value = 1
Key = installer, Value = 1
Key = au, Value = 2
Key = pro:rel, Value = 2
Key = adjoindre, Value = 1
Key = l', Value = 1
Key = je, Value = 2
Key = rallumer, Value = 2
Key = poursuivre, Value = 1
Key = d', Value = 3
Key = lâcher, Value = 2
Key = semaine, Value = 1
Key = ces, Value = 1
Key = sur, Value = 4
Key = talbott, Value = 2
Key = mis, Value = 1
Key = pun:cit, Value = 2
Key = juillet, Value = 4
Key = bombes, Value = 1
Key = offensive, Value = 2
Key = a, Value = 3
Key = ce, Value = 2
Key = parachutiste, Value = 1
Key = tentative, Value = 2
Key = tout, Value = 2
Key = était, Value = 1
Key = massive, Value = 1
Key = ont, Value = 2
Key = la, Value = 6
Key = char, Value = 1
Key = le, Value = 13
Key = centaines, Value = 1
Key = n', Value = 1
Key = semaines, Value = 1
Key = chars, Value = 1
Key = indépendantiste, Value = 3
Key = garde, Value = 2
Key = de, Value = 19
Key = qu', Value = 1
Key = num, Value = 2
Key = est, Value = 3
Key = dernières, Value = 1
Key = kon, Value = 3
Key = mettre, Value = 1
Key = déclaré, Value = 2
Key = iandarbiev, Value = 2
Key = du, Value = 7
Key = ainsi, Value = 2
Key = ver:infi, Value = 2
Key = solution, Value = 2
Key = zone, Value = 1
Key = voir, Value = 2
Key = un, Value = 4
Key = jeudi, Value = 4
Key = bombe, Value = 1
Key = massif, Value = 1
Key = russe, Value = 2
Key = être, Value = 2
Key = secrétaire, Value = 2
Key = adj, Value = 13
Key = centaine, Value = 1
Key = en, Value = 4
Key = ver:pper, Value = 8
Key = pro:per, Value = 1
Key = zones, Value = 1
Key = installé, Value = 1
Key = sent, Value = 5
Key = adjoint, Value = 1
Key = plus, Value = 2
Key = prp, Value = 18
Key = hélicoptères, Value = 3
Key = et, Value = 2
Key = etats-unis, Value = 2
Key = adv, Value = 5
Key = forces, Value = 1
Key = ne, Value = 1
Key = chali, Value = 2
Key = det:art, Value = 15
Key = même, Value = 2
Key = zelimkhan, Value = 2
Key = vu, Value = 2
Key = à, Value = 4
Key = que, Value = 3
Key = mobiliser, Value = 1
Key = hélicoptère, Value = 3
Key = qui, Value = 2
Key = pro:dem, Value = 2
Key = général, Value = 2
Key = nom, Value = 41
Key = force|forces, Value = 1
Key = prp:det, Value = 7
Key = régions, Value = 1
Key = catastrophe, Value = 2
Key = reprise, Value = 2
Key = contre, Value = 2
Key = toute, Value = 2
Key = mobilisant, Value = 1
Key = dizaines, Value = 1
Key = indépendantistes, Value = 1
Key = pro:ind, Value = 2
Key = dirigeant, Value = 2
Key = une, Value = 2
Key = guerre, Value = 4
Key = mekhketi, Value = 4
Key = dizaine, Value = 1
Key = strobe, Value = 2
Key = fort, Value = 2
Key = dernier, Value = 1
Key = parachutistes, Value = 1
Key = russes, Value = 2
