Key = garde, Value = 1
Key = de, Value = 10
Key = fois, Value = 1
Key = l'institut, Value = 1
Key = deux, Value = 1
Key = petits, Value = 1
Key = dix, Value = 1
Key = 1996, Value = 1
Key = des, Value = 1
Key = (inc), Value = 1
Key = consommation, Value = 1
Key = national, Value = 1
Key = les, Value = 4
Key = �pargnants, Value = 1
Key = l'inflation, Value = 1
Key = courtage, Value = 2
Key = par, Value = 1
Key = 56, Value = 2
Key = %, Value = 3
Key = ans, Value = 1
Key = pour, Value = 2
Key = en, Value = 1
Key = francs, Value = 1
Key = frais, Value = 2
Key = une, Value = 2
Key = et, Value = 3
Key = 000, Value = 1
Key = 1986, Value = 1
Key = bourse, Value = 3
Key = augment�, Value = 2
Key = 145, Value = 1
Key = soit, Value = 1
Key = ont, Value = 2
Key = r�alis�e, Value = 1
Key = la, Value = 1
Key = 5, Value = 1
Key = droits, Value = 1
Key = enqu�te, Value = 1
Key = :, Value = 1
Key = actions, Value = 1
Key = selon, Value = 1
Key = �, Value = 1
Key = transaction, Value = 1
