Key = frank, Value = 1
Key = damon, Value = 1
Key = de, Value = 4
Key = obtient, Value = 1
Key = prix, Value = 1
Key = williams-renault, Value = 1
Key = l'�curie, Value = 2
Key = titre, Value = 1
Key = ao�t, Value = 1
Key = sa, Value = 1
Key = victoire, Value = 1
Key = doubl�, Value = 1
Key = du, Value = 2
Key = des, Value = 2
Key = championnat, Value = 1
Key = ainsi, Value = 1
Key = assure, Value = 1
Key = williams, Value = 1
Key = villeneuve, Value = 1
Key = jacques, Value = 1
Key = devenu, Value = 1
Key = 11, Value = 1
Key = patron, Value = 1
Key = ce, Value = 1
Key = l'ancien, Value = 1
Key = dimanche, Value = 1
Key = pilotes, Value = 1
Key = grand, Value = 1
Key = dans, Value = 1
Key = et, Value = 1
Key = constructeurs, Value = 1
Key = hill, Value = 1
Key = 1, Value = 1
Key = pilote, Value = 1
Key = formule, Value = 1
Key = lors, Value = 1
Key = huiti�me, Value = 1
Key = le, Value = 2
Key = monde, Value = 1
Key = franco-britannique, Value = 1
Key = �, Value = 1
Key = hongrie, Value = 1
Key = champion, Value = 1
