Key = 7688, Value = 1
Key = boursier, Value = 1
Key = objects, Value = 1
Key = poids, Value = 1
Key = des, Value = 3
Key = sont, Value = 2
Key = les, Value = 1
Key = soci�t�s, Value = 4
Key = il, Value = 1
Key = %, Value = 1
Key = introduites, Value = 1
Key = forte, Value = 1
Key = milliards, Value = 3
Key = 2, Value = 1
Key = system, Value = 1
Key = 4, Value = 3
Key = au, Value = 3
Key = nasdaq, Value = 4
Key = 800, Value = 1
Key = n�gociateurs, Value = 1
Key = :, Value = 1
Key = d�nomination, Value = 1
Key = entreprises, Value = 1
Key = association, Value = 1
Key = dollars, Value = 1
Key = sa, Value = 1
Key = titres, Value = 1
Key = sur, Value = 2
Key = valeurs, Value = 1
Key = 1994, Value = 1
Key = thomson-csf, Value = 1
Key = composition, Value = 1
Key = septembre, Value = 1
Key = national, Value = 1
Key = �tait, Value = 1
Key = coflexip, Value = 1
Key = 30, Value = 1
Key = d'acheter, Value = 1
Key = c'est, Value = 1
Key = business, Value = 1
Key = (environ, Value = 1
Key = �lectronique, Value = 1
Key = automated, Value = 1
Key = am�ricaines, Value = 2
Key = la, Value = 2
Key = automatique, Value = 1
Key = le, Value = 7
Key = l'association, Value = 1
Key = permet, Value = 1
Key = de, Value = 13
Key = juin, Value = 1
Key = vendre, Value = 1
Key = est, Value = 4
Key = 150, Value = 1
Key = sigle, Value = 1
Key = fran�aises, Value = 1
Key = march�, Value = 1
Key = lvmh, Value = 1
Key = 316, Value = 1
Key = dealers, Value = 1
Key = en, Value = 2
Key = boursi�re, Value = 1
Key = francs, Value = 1
Key = plus, Value = 3
Key = comptait, Value = 1
Key = et, Value = 1
Key = etats-unis, Value = 1
Key = monde, Value = 1
Key = avec, Value = 1
Key = dont, Value = 2
Key = mobili�res), Value = 1
Key = qui, Value = 2
Key = aux, Value = 1
Key = croissance, Value = 1
Key = non, Value = 1
Key = toutes, Value = 1
Key = d'environ, Value = 1
Key = security, Value = 1
Key = paris, Value = 1
Key = of, Value = 1
Key = �cran, Value = 1
Key = celle, Value = 1
Key = cot�es, Value = 2
Key = (syst�me, Value = 1
Key = ou, Value = 1
Key = terme, Value = 1
Key = une, Value = 1
Key = francs), Value = 1
Key = 100, Value = 1
Key = bourse, Value = 2
Key = 500, Value = 1
Key = cota, Value = 1
Key = dernier, Value = 1
Key = am�ricaine, Value = 1
Key = quotation, Value = 1
Key = 85, Value = 1
Key = 86, Value = 1
Key = capitalisation, Value = 1
Key = compte, Value = 1
