Key = l'allemand, Value = 1
Key = juin, Value = 2
Key = de, Value = 6
Key = �t�, Value = 1
Key = terre, Value = 1
Key = battue, Value = 1
Key = stich, Value = 1
Key = seles, Value = 1
Key = victoires, Value = 1
Key = jim, Value = 1
Key = opposer, Value = 1
Key = impressionnante, Value = 1
Key = saison, Value = 1
Key = pete, Value = 1
Key = son, Value = 2
Key = des, Value = 2
Key = fran�ais, Value = 1
Key = roland-garros, Value = 1
Key = france, Value = 1
Key = un, Value = 1
Key = les, Value = 2
Key = jana, Value = 1
Key = par, Value = 1
Key = finale, Value = 3
Key = tch�que, Value = 1
Key = novotna, Value = 1
Key = en, Value = 3
Key = r�ussi, Value = 1
Key = monica, Value = 1
Key = et, Value = 2
Key = auteur, Value = 1
Key = 3, Value = 1
Key = 4, Value = 1
Key = sampras, Value = 1
Key = courier, Value = 1
Key = perdu, Value = 1
Key = l'am�ricaine, Value = 1
Key = champion, Value = 1
Key = pioline, Value = 1
Key = bon, Value = 1
Key = marcelo, Value = 1
Key = qui, Value = 1
Key = deux, Value = 1
Key = mardi, Value = 1
Key = muster, Value = 1
Key = sur, Value = 1
Key = compatriote, Value = 1
Key = 1995, Value = 1
Key = s�rie, Value = 1
Key = c�dric, Value = 1
Key = sortant, Value = 1
Key = thomas, Value = 1
Key = d'une, Value = 1
Key = femmes, Value = 1
Key = dominer, Value = 1
Key = devaient, Value = 1
Key = a, Value = 3
Key = vainqueur, Value = 1
Key = cette, Value = 1
Key = retrouvera, Value = 1
Key = lundi, Value = 1
Key = celui-ci, Value = 1
Key = quarts, Value = 2
Key = match, Value = 1
Key = pour, Value = 1
Key = nettement, Value = 1
Key = affiches, Value = 1
Key = tennis, Value = 1
Key = rios, Value = 1
Key = �limin�, Value = 1
Key = michael, Value = 1
Key = chilien, Value = 1
Key = l'autrichien, Value = 1
Key = chez, Value = 1
Key = la, Value = 1
Key = l'am�ricain, Value = 1
Key = huiti�me, Value = 1
Key = le, Value = 2
Key = internationaux, Value = 1
Key = �, Value = 2
