Key = date, Value = 1
Key = de, Value = 6
Key = trois, Value = 1
Key = �t�, Value = 2
Key = r�compens�, Value = 1
Key = titre, Value = 1
Key = battue, Value = 2
Key = n'a, Value = 2
Key = g�ch�, Value = 1
Key = promise, Value = 1
Key = avoir, Value = 1
Key = du, Value = 1
Key = tournoi, Value = 1
Key = des, Value = 2
Key = ainsi, Value = 1
Key = nerfs, Value = 1
Key = talent, Value = 1
Key = incapables, Value = 1
Key = chanda, Value = 1
Key = un, Value = 3
Key = france, Value = 1
Key = rubin, Value = 1
Key = jeudi, Value = 1
Key = jana, Value = 2
Key = bien, Value = 1
Key = par, Value = 3
Key = l'avait, Value = 1
Key = tension, Value = 1
Key = pas, Value = 2
Key = tch�que, Value = 1
Key = finale, Value = 1
Key = novotna, Value = 3
Key = balles, Value = 2
Key = en, Value = 2
Key = dans, Value = 2
Key = chelem, Value = 1
Key = wimbledon, Value = 1
Key = donc, Value = 1
Key = jeux, Value = 1
Key = et, Value = 1
Key = eu, Value = 2
Key = japonaise, Value = 1
Key = lors, Value = 1
Key = 6, Value = 1
Key = quatre, Value = 1
Key = l'am�ricaine, Value = 1
Key = m�me, Value = 1
Key = neuf, Value = 1
Key = que, Value = 2
Key = qui, Value = 1
Key = derniers, Value = 1
Key = steffi, Value = 1
Key = ait, Value = 1
Key = victoire, Value = 1
Key = elle, Value = 1
Key = kimiko, Value = 1
Key = demi-finale, Value = 1
Key = apr�s, Value = 1
Key = 1993, Value = 1
Key = juillet, Value = 1
Key = l'allemande, Value = 1
Key = encore, Value = 1
Key = ses, Value = 1
Key = graf, Value = 1
Key = a, Value = 2
Key = celle, Value = 1
Key = chance, Value = 1
Key = set, Value = 1
Key = 40-15, Value = 1
Key = match, Value = 2
Key = affronter, Value = 1
Key = troisi�me, Value = 1
Key = championnats, Value = 1
Key = grand, Value = 1
Key = alors, Value = 1
Key = supporter, Value = 1
Key = semblent, Value = 1
Key = menait, Value = 1
Key = la, Value = 5
Key = le, Value = 2
Key = internationaux, Value = 1
Key = pourra, Value = 1
Key = �, Value = 1
