Key = ann�e, Value = 1
Key = lui, Value = 1
Key = passionn�e, Value = 1
Key = qu'en, Value = 1
Key = trois, Value = 1
Key = ruer, Value = 1
Key = pu, Value = 1
Key = stich, Value = 1
Key = nouveau, Value = 1
Key = dix-septi�me, Value = 1
Key = fin, Value = 1
Key = avoir, Value = 1
Key = tournoi, Value = 1
Key = des, Value = 1
Key = n'avait, Value = 1
Key = revoir, Value = 1
Key = n'y, Value = 1
Key = il, Value = 10
Key = philosophiquement, Value = 1
Key = �nigmatique, Value = 1
Key = majeur, Value = 1
Key = au, Value = 6
Key = service-vol�e, Value = 1
Key = m�me, Value = 1
Key = :, Value = 1
Key = droit, Value = 1
Key = 1989, Value = 1
Key = oppos�, Value = 1
Key = seize, Value = 1
Key = sa, Value = 2
Key = aura, Value = 1
Key = se, Value = 1
Key = r�pond, Value = 1
Key = si, Value = 1
Key = s�rie, Value = 1
Key = �tait, Value = 1
Key = appara�tre, Value = 1
Key = l'�vidence, Value = 1
Key = quand, Value = 1
Key = d'une, Value = 1
Key = encore, Value = 1
Key = a, Value = 2
Key = ce, Value = 2
Key = sets, Value = 1
Key = nouvelle, Value = 1
Key = premier, Value = 1
Key = tour, Value = 1
Key = tennis, Value = 2
Key = nostalgique, Value = 1
Key = secs, Value = 1
Key = le, Value = 2
Key = nue, Value = 1
Key = venu, Value = 1
Key = de, Value = 2
Key = fois, Value = 1
Key = emp�ch�, Value = 1
Key = portail, Value = 1
Key = fut, Value = 1
Key = visage, Value = 1
Key = minot, Value = 1
Key = est, Value = 1
Key = qu'il, Value = 1
Key = incognito, Value = 1
Key = retraite, Value = 1
Key = prendra, Value = 1
Key = mais, Value = 1
Key = continuera, Value = 1
Key = jure, Value = 1
Key = du, Value = 1
Key = son, Value = 2
Key = attir�, Value = 1
Key = foule, Value = 1
Key = fran�ais, Value = 1
Key = un, Value = 4
Key = contrer, Value = 1
Key = stefan, Value = 1
Key = par, Value = 2
Key = pas, Value = 1
Key = risque, Value = 1
Key = finaliste, Value = 1
Key = en, Value = 1
Key = chelem, Value = 1
Key = et, Value = 1
Key = eu, Value = 1
Key = but�, Value = 1
Key = plaisir, Value = 1
Key = filet, Value = 1
Key = ne, Value = 1
Key = t�tes, Value = 1
Key = fabrice, Value = 1
Key = avec, Value = 1
Key = sourire, Value = 1
Key = nomm�, Value = 1
Key = foi, Value = 1
Key = qui, Value = 1
Key = essay�, Value = 2
Key = tant, Value = 1
Key = joueur, Value = 1
Key = sait, Value = 1
Key = deuxi�me, Value = 1
Key = t�te, Value = 1
Key = mondial, Value = 1
Key = inqui�te, Value = 1
Key = paris, Value = 1
Key = central, Value = 1
Key = edberg, Value = 2
Key = cette, Value = 2
Key = �chappe, Value = 1
Key = gagner, Value = 1
Key = pour, Value = 2
Key = match, Value = 1
Key = grand, Value = 2
Key = une, Value = 1
Key = santoro, Value = 1
Key = michael, Value = 2
Key = triste, Value = 1
Key = chang, Value = 1
Key = d'attaque, Value = 1
Key = affirme, Value = 1
Key = �, Value = 4
